claim_id,claim,status,permitted_wording,forbidden_stronger_wording,evidence_basis,required_qualifier,scope,phase_source
L11,steering authorship,PROVISIONAL,"Post-Manual_Start steering-angle activity is plausibly, but not verifiably, driver-generated (PLAUSIBLE_BUT_UNVERIFIED).",Steering is driver-generated; driver steering behaviour.,R4V criteria a1–a5 with a downgrade-only review: the angle channel carries cell-locked automation content before TOR; participant ICC 0.16,Must accompany any steering-derived quantity.,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R4V
L12,steering torque,BLOCKED,"The undocumented steering-torque channel is almost a linear, opposite-sign function of the steering angle (r ≈ −0.99) and cannot be interpreted as driver torque.",Driver steering effort / applied torque.,R4V; R4V-D torque audit,Excluded from all onset definitions.,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R4V; R4V-D
L13,indicator timing,PROVISIONAL,"The left-indicator signal (undocumented; +1 = left inferred) is never on between TOR and Manual_Start; it comes on a median 2.03 s after Manual_Start and 2.80 s before lane crossing, before the steering onset in 63% of trials.",Intention time; decision time; drivers decide to change lane X s after takeover.,R4V; R4V-D indicator audit,Undocumented channel semantics; PLAUSIBLE_BUT_UNVERIFIED.,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R4V; R4V-D
L14,lane crossing timing,SUPPORTED,"TOR → validated lane crossing: median 6.40 s (IQR 5.45–7.70, n = 477); Manual_Start → lane crossing: median 4.80 s (IQR 3.75–5.94, n = 478).",Takeover completion time; recovery time; time to safe state.,R1 validation (Time_Lane_Change matched to a same-road lane transition); R2B; R4V-D,"A lane-crossing event, not steering onset and not manoeuvre completion.","D003 simulator takeovers (492 anchorable trials, 57 participants)",R1; R2B; R4V-D
L15,hazard distance at steering onset,SUPPORTED_WITH_QUALIFIER,"At the (provisional) steering-activity onset, the logged distance to the construction zone is a median 90 m (IQR 69–109, n = 434, station-consistent trials).",Drivers start steering 90 m before the hazard (as behaviour); a safe steering distance.,R4V-D: logged documented distance; −dD/dt matches speed; station reconstructed in 8 of 9 cells,Evaluated at a provisional event; the reference point on the construction zone is undocumented; d0_n1 excluded.,D003 station-consistent cells,R4V-D
L16,hazard distance at lane crossing,SUPPORTED_WITH_QUALIFIER,"At the validated lane crossing, the logged distance to the construction zone is a median 43 m (IQR 26–58, n = 421, station-consistent trials).",Minimum safe lateral-avoidance distance; clearance margin.,R4V-D,The reference point is undocumented; lateral geometry and clearance are unknown; d0_n1 excluded.,D003 station-consistent cells,R4V-D
L17,hazard station reconstruction,SUPPORTED_WITH_QUALIFIER,"A fixed longitudinal hazard station (roadAbscissa + dir·Distance_to_Construction) is reconstructed in 8 of 9 scenario cells (across-trial SD ≤ 1.7 m, residual p95 < 1 m after TOR).",Hazard geometry / escape path is reconstructed.,R4V-D hazard reconstruction,Not consistent in d0_n1 (dD/ds ≈ 0.78); lateral extent and lane width not logged.,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R4V-D
L18,target-lane gap descriptors,PROVISIONAL,Non-zero next-lane gap values at steering onset and just before lane crossing are reported (e.g. lead vehicle in the next lane: median 33 m at onset); zero values are context-tagged and left unresolved.,Gap acceptance; accepted gap size; drivers accept gaps of X m.,R4V-D gap semantics audit,Zero semantics unresolved in general; the next lane = target lane mapping is inferred.,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R4V-D
L19,R3B classification results,SUPPORTED_WITH_QUALIFIER,"Within the braking-only model and stated intervals, of 150 scenario/branch cases: 58 ROBUSTLY SATISFIED, 47 PARAMETER-SENSITIVE, 45 ROBUSTLY UNSATISFIED. T_required bounds are exact (guarded corner method; stationary-point t1 escalation where needed) and cross-checked against the simulator to 2.2e-4 relative.",58 scenarios are safe; takeover succeeds / fails in these scenarios; recoverability envelope.,R3B canonical outputs (code a4f2cc4); reproduction test,Necessary braking-only condition under explicit assumptions; labels are not safe/unsafe.,R3B braking-only model; stated parameter boxes; 150 scenarios,R3B
L20,TTC effect,SUPPORTED_WITH_QUALIFIER,"In the model, TTC at TOR dominates the classification: at TTC 2 s, 28 of 30 cases are ROBUSTLY UNSATISFIED; at TTC 10 s, all 30 are ROBUSTLY SATISFIED; TTC 5 s is mostly PARAMETER-SENSITIVE.",A 7 s (or 10 s) TOR budget is sufficient for safe takeover.,R3B §13.3,Within-model; the braking-only necessary condition.,R3B braking-only model; stated parameter boxes; 150 scenarios,R3B
L21,speed effect,SUPPORTED_WITH_QUALIFIER,"In the model, required braking time rises with initial speed (midpoint, P0 with authority at effective control, dry road: 3.74 / 4.41 / 4.94 s at 60 / 100 / 130 km/h); ROBUSTLY UNSATISFIED counts rise 11 / 15 / 19.",Higher speeds make takeovers unsafe.,R3B §13.3,Within-model.,R3B braking-only model; stated parameter boxes; 150 scenarios,R3B
L22,friction effect,SUPPORTED_WITH_QUALIFIER,"In the model, μ = 0.5 caps braking at 4.905 m/s², removes a_max sensitivity and raises the midpoint required time by 0.36–1.36 s; ROBUSTLY UNSATISFIED counts rise from 16 (μ 1.0) to 29 (μ 0.5).",Wet roads make takeover unsafe.,R3B §13.3; friction relation a ≤ μg (source-supported),μ = 0.5 is an explicit assumption.,R3B braking-only model; stated parameter boxes; 150 scenarios,R3B
L23,a_max effect,SUPPORTED_WITH_QUALIFIER,"In the model, braking capability a_max affects required time only when friction does not bind (dry-road elasticity −0.21 to −0.47; none at μ 0.5).",Better brakes make takeover safe.,R3B §7 sensitivity,"Within-model; a_max interval is generic passenger-car evidence, not the D003 vehicle.",R3B braking-only model; stated parameter boxes; 150 scenarios,R3B
L24,P0/P1/P2 comparison,SUPPORTED_WITH_QUALIFIER,"Counterfactually, relative to holding speed until effective control (P0), passive drag (P1) reduces midpoint required time by 0.08–0.23 s and supported deceleration (P2, authority at effective control) by 0.68–1.12 s; 13 scenario/branch labels change.",P2 is safer; systems should brake during the transition; R157 systems behave like P2.,R3B §8 (generated from stored outputs),"Counterfactual branches, not production policies; a_sup is an assumption.",R3B braking-only model; stated parameter boxes; 150 scenarios,R3B
L25,authority-timing effect,SUPPORTED_WITH_QUALIFIER,"In the model, pre-control behaviour matters only while the automation keeps authority: with uncertain authority (f·t1), P0 changes midpoint required time by −0.03 to −0.11 s and the P2 benefit shrinks to 0.45–0.69 s.",Authority is transferred at X; early authority transfer is unsafe.,"R3B §8, §13.3","Authority timing is an explicit assumption (f ∈ [0, 1]).",R3B braking-only model; stated parameter boxes; 150 scenarios,R3B
L26,t1 sensitivity,SUPPORTED_WITH_QUALIFIER,The t1 assumption interval is the main contributor to the width of the required-time bounds (one-at-a-time swing share 0.33–0.77; widths 2.2–3.5 s).,Human reaction time determines takeover safety.,R3B §7,"t1 is an assumption interval, not a measured distribution.",R3B braking-only model; stated parameter boxes; 150 scenarios,R3B
L27,t1 = 4 s supplement,SUPPORTED_WITH_QUALIFIER,"Raising the assumed t1 upper bound to 4 s moves 10 cases from ROBUSTLY SATISFIED to PARAMETER-SENSITIVE (9 at TTC 7 s, 1 at 5 s).",Drivers need 4 s; TTC 7 s is insufficient.,R3B supplement (monotone endpoint bound; stationary-point t1 bound for 2 P2 cases),Sensitivity-only.,R3B braking-only model; stated parameter boxes; 150 scenarios,R3B
L28,D003-like 100 km/h / TTC 7 s result,SUPPORTED_WITH_QUALIFIER,"In the model, the D003-like case (100 km/h, TTC 7 s) is ROBUSTLY SATISFIED in every branch (worst-case margin +1.01 s dry, +0.34 s at μ 0.5 for P0 with authority at effective control); with the t1 upper bound at 4 s, the μ 0.5 case becomes PARAMETER-SENSITIVE in 4 of 5 branches.",D003 drivers could have stopped by braking; D003 takeovers were recoverable.,R3B §13.3 and supplement table,Says nothing about D003 drivers' braking; the D003 vehicle is not calibrated.,R3B braking-only model; stated parameter boxes; 150 scenarios,R3B
L29,full takeover recoverability,BLOCKED,Not established; the project gives a braking-only necessary condition and descriptive lateral timing.,Takeover recoverability / human fallback safety envelope is determined.,R4 synthesis readiness; R4V; R4V-D,—,—,R4; R4V-D
L30,combined braking+steering synthesis,BLOCKED,"Not defensible from current evidence: braking authorship and magnitude are not identifiable, steering onset is provisional, there is no completion event and no lateral geometry.",Combined longitudinal-lateral recoverability model / score.,R4; R4V-D §10,—,—,R4; R4V-D
L31,production safety claim,BLOCKED,No statement about production automated-driving systems is made.,System X / L3 systems are (un)safe; compliance with R157.,R3B validity envelope,—,—,R3B
L32,causal learning claim,BLOCKED,Repeated-exposure results are associations with exposure order.,Drivers learned; exposure causes faster button presses.,R2B design (counterbalanced order; no mechanism identified),—,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R2B
L33,EV / one-pedal familiarity effect,BLOCKED,EV / one-pedal / regeneration familiarity is not identifiable from D003 or the verified public data checked.,EV drivers take over differently; one-pedal familiarity affects braking.,Baseline §5; single simulated vehicle; no familiarity fields,'Not found in checked data' is not 'does not exist'.,—,R0 baseline; R2C
L34,TOR → lane crossing vs exposure,SUPPORTED_WITH_QUALIFIER,"TOR → validated lane crossing shows no clear linear association with exposure (+0.09 s per exposure, 95% CI −0.13 to +0.31).",Lane-change performance does not improve with practice.,R2B,Associational; limited power.,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R2B
L35,steering timing vs exposure,PROVISIONAL,"Neither Manual_Start → steering onset nor steering onset → lane crossing shows a clear linear association with exposure, with or without exposure 1.",Steering behaviour does not adapt.,"R4V-D exposure models (participant FE, CR1)",Inherits the provisional onset.,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R4V-D
L36,condition (density / n-back) causal effects,WITHDRAWN,Condition-associated differences may be described descriptively only.,Workload delays the button press by 0.40 s; density triples brake force.,"Baseline §2: cells aliased with road, speed, distance, lane, automation behaviour (B11, B17)",—,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R0 baseline
L37,T_stable as human stabilisation time,WITHDRAWN,No stabilisation metric is adopted.,Human stabilisation takes 22–23 s; 100% settled.,Baseline §3: 81% of values after Manual_Stop,—,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R0 baseline
L38,control-channel correction counts,WITHDRAWN,No human correction counts are reported.,Drivers made 3 brake corrections / 13 steering reversals.,Baseline §2: full-record windows include automation after handback; B17,—,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R0 baseline
L39,derived collision proxy,WITHDRAWN,No collision outcome is derived from D003.,1.17% of takeovers collided.,Baseline §2 (B10),—,"D003 simulator takeovers (492 anchorable trials, 57 participants)",R0 baseline
L40,closed-form novelty,WITHDRAWN,"The stopping-distance closed form is standard kinematics, generalised for piecewise pre-control phases.",First exact closed-form recoverability boundary; novel closed-form solution.,Baseline §4 (t1 + t2 + t3/2 and −a·t3²/24 are standard),—,—,R0 baseline
L41,steering onset relative to the R3B assumed t1 window,SUPPORTED_WITH_QUALIFIER,"Measured from TOR, the descriptive steering-angle activity onset in D003 falls predominantly after the upper end of the braking-delay interval assumed in R3B (1.15–3.0 s): 75% of onsets with the primary detector (n = 491; median 3.85 s, IQR 3.00–4.88), none before 1.15 s, and a majority for every onset detector compared (57–87%) and in every scenario cell (51–98%).","Drivers steer after they brake; steering follows effective braking; drivers take longer than t1 to steer, so the t1 interval is validated / too short; longitudinal and lateral recovery are causally linked or sequential.","R4V-D summary.json r3b_relation and event_table.csv (tor_to_steer_onset_s = tor_to_ms_s + ms_to_steer_onset_s); detector comparison from stored per-detector onsets; R3B t1 interval (R3B §3, §13.1)","Cross-layer descriptive comparison of a signal event with a modelling assumption. R3B t1 is an assumption, not an observed braking delay. Steering authorship is unverified (L11) and the exact fraction depends on the detector (L09). It does not hold against the 4 s supplementary bound (47% after 4.0 s). No braking timing is implied.","D003 simulator takeovers (491 trials with a primary onset, 57 participants)",R4V-D; R3B
L42,hazard distance at TOR,SUPPORTED_WITH_QUALIFIER,"At the resolved TOR, the logged distance to the construction zone (Distance_to_Construction, linearly interpolated at the TOR time) is a median 178 m (IQR 175–196; 5–95% 151–197; n = 435 station-consistent trials); cell medians range from 158 to 197 m.",The hazard was 178 m away in all scenarios; TOR distance defines the escape space; TTC or stopping distance derived for D003 drivers from this value.,"R4V-D event_table.csv hazard_distance_at_tor_m (directly logged channel 85, documented 'distance to collosion' [sic], m); station consistency from R4V-D hazard reconstruction","Directly logged, not derived from speed or TTC. Valid as an along-path distance only in the 8 station-consistent cells. d0_n1 is excluded: its logged value (135.7 m) is consistent across trials, but the channel's rate does not match the road abscissa there. The reference point on the construction zone is undocumented; the value is cell-dependent.",D003 station-consistent cells (435 trials),R4V-D
